,#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#
14635,205347300,2021-03-16 09:02:09,3,11.3833231,47.3122104,2323.212,1,6.81
14636,205347400,2021-03-16 09:02:09,3,11.3833232,47.3122103,2323.219,1,6.81
14637,205347500,2021-03-16 09:02:09,3,11.3833234,47.3122102,2323.207,0,6.81
14638,205347600,2021-03-16 09:02:09,3,11.3833236,47.31221,2323.205,0,6.81
14639,205347700,2021-03-16 09:02:09,3,11.3833235,47.31221,2323.168,0,6.81
14640,205347800,2021-03-16 09:02:09,3,11.3833237,47.3122099,2323.153,0,6.81
14641,205347900,2021-03-16 09:02:09,3,11.3833239,47.3122098,2323.154,0,6.81
14642,205348000,2021-03-16 09:02:10,3,11.3833239,47.3122098,2323.143,0,6.81
14643,205348100,2021-03-16 09:02:10,3,11.383324,47.3122096,2323.139,0,6.81
14644,205348200,2021-03-16 09:02:10,3,11.3833241,47.3122096,2323.115,0,6.81
14645,205348300,2021-03-16 09:02:10,3,11.3833242,47.3122095,2323.109,0,6.81
14646,205348400,2021-03-16 09:02:10,3,11.3833242,47.3122096,2323.1,0,6.81
14647,205348500,2021-03-16 09:02:10,3,11.3833244,47.3122094,2323.116,1,6.81
14648,205348600,2021-03-16 09:02:10,3,11.3833244,47.3122094,2323.11,1,6.81
14649,205348700,2021-03-16 09:02:10,3,11.3833245,47.3122095,2323.079,1,6.81
14650,205348800,2021-03-16 09:02:10,3,11.3833243,47.3122095,2323.06,1,6.81
14651,205348900,2021-03-16 09:02:10,3,11.3833245,47.3122094,2323.061,1,6.81
14652,205349000,2021-03-16 09:02:11,3,11.3833243,47.3122095,2323.045,1,6.81
14653,205349100,2021-03-16 09:02:11,3,11.3833246,47.3122095,2323.012,1,6.81
14654,205349200,2021-03-16 09:02:11,3,11.3833245,47.3122095,2322.992,1,6.81
14655,205349300,2021-03-16 09:02:11,3,11.3833247,47.3122094,2322.984,1,6.81
14656,205349400,2021-03-16 09:02:11,3,11.3833244,47.3122096,2322.927,1,6.81
14657,205349500,2021-03-16 09:02:11,3,11.3833243,47.3122096,2322.944,0,6.81
14658,205349600,2021-03-16 09:02:11,3,11.3833238,47.3122097,2322.987,0,6.81
14659,205349700,2021-03-16 09:02:11,3,11.3833233,47.3122099,2323.109,0,6.81
14660,205349800,2021-03-16 09:02:11,3,11.3833217,47.3122105,2323.169,0,6.81
14661,205349900,2021-03-16 09:02:11,3,11.3833205,47.3122111,2323.219,0,6.81
14662,205350000,2021-03-16 09:02:12,3,11.3833197,47.3122113,2323.091,0,6.81
14663,205350100,2021-03-16 09:02:12,3,11.3833193,47.3122107,2323.077,0,6.81
14664,205350200,2021-03-16 09:02:12,3,11.383319,47.3122103,2323.059,0,6.81
14665,205350300,2021-03-16 09:02:12,3,11.3833191,47.3122099,2322.972,0,6.81
14666,205350400,2021-03-16 09:02:12,3,11.3833186,47.3122099,2322.904,0,6.81
14667,205350500,2021-03-16 09:02:12,3,11.3833183,47.3122095,2322.833,1,6.81
14668,205350600,2021-03-16 09:02:12,3,11.3833179,47.3122098,2322.808,1,6.81
14669,205350700,2021-03-16 09:02:12,3,11.3833181,47.3122096,2322.782,1,6.81
14670,205350800,2021-03-16 09:02:12,3,11.3833181,47.3122095,2322.751,1,6.81
14671,205350900,2021-03-16 09:02:12,3,11.3833183,47.3122093,2322.762,1,6.81
14672,205351000,2021-03-16 09:02:13,3,11.3833183,47.3122095,2322.749,1,6.81
14673,205351100,2021-03-16 09:02:13,3,11.3833181,47.3122095,2322.712,1,6.81
14674,205351200,2021-03-16 09:02:13,3,11.3833181,47.3122094,2322.684,1,6.87
14675,205351300,2021-03-16 09:02:13,3,11.3833184,47.3122093,2322.653,1,6.87
14676,205351400,2021-03-16 09:02:13,3,11.3833184,47.3122093,2322.627,1,6.87
14677,205351500,2021-03-16 09:02:13,3,11.3833183,47.3122094,2322.604,0,6.87
14678,205351600,2021-03-16 09:02:13,3,11.3833183,47.3122094,2322.578,0,6.87
14679,205351700,2021-03-16 09:02:13,3,11.3833185,47.3122095,2322.537,0,6.87
14680,205351800,2021-03-16 09:02:13,3,11.3833185,47.3122095,2322.518,0,6.87
14681,205351900,2021-03-16 09:02:13,3,11.3833187,47.3122093,2322.482,0,6.87
14682,205352000,2021-03-16 09:02:14,3,11.383319,47.3122092,2322.45,0,6.87
14683,205352100,2021-03-16 09:02:14,3,11.3833191,47.3122089,2322.424,0,6.87
14684,205352200,2021-03-16 09:02:14,3,11.3833193,47.3122087,2322.386,0,6.87
14685,205352300,2021-03-16 09:02:14,3,11.3833193,47.3122084,2322.368,0,6.87
14686,205352400,2021-03-16 09:02:14,3,11.3833196,47.3122081,2322.326,0,6.87
14687,205352500,2021-03-16 09:02:14,3,11.3833195,47.3122077,2322.308,1,6.87
14688,205352600,2021-03-16 09:02:14,3,11.3833197,47.3122076,2322.279,1,6.87
14689,205352700,2021-03-16 09:02:14,3,11.3833196,47.3122074,2322.283,1,6.81
14690,205352800,2021-03-16 09:02:14,3,11.3833194,47.3122075,2322.268,1,6.81
14691,205352900,2021-03-16 09:02:14,3,11.3833191,47.3122074,2322.26,1,6.81
14692,205353000,2021-03-16 09:02:15,3,11.383319,47.3122072,2322.238,1,6.81
14693,205353100,2021-03-16 09:02:15,3,11.3833192,47.3122071,2322.227,1,6.81
14694,205353200,2021-03-16 09:02:15,3,11.3833191,47.3122071,2322.174,1,6.81
14695,205353300,2021-03-16 09:02:15,3,11.3833192,47.3122073,2322.156,1,6.81
14696,205353400,2021-03-16 09:02:15,3,11.3833191,47.3122075,2322.105,1,6.81
14697,205353500,2021-03-16 09:02:15,3,11.383319,47.3122075,2322.083,0,6.81
14698,205353600,2021-03-16 09:02:15,3,11.3833191,47.3122077,2322.047,0,6.81
14699,205353700,2021-03-16 09:02:15,3,11.3833193,47.3122076,2321.997,0,6.81
14700,205353800,2021-03-16 09:02:15,3,11.3833193,47.3122079,2321.958,0,6.81
14701,205353900,2021-03-16 09:02:15,3,11.3833195,47.3122081,2321.926,0,6.81
14702,205354000,2021-03-16 09:02:16,3,11.3833193,47.3122084,2321.885,0,6.81
14703,205354100,2021-03-16 09:02:16,3,11.3833195,47.3122084,2321.852,0,6.81
14704,205354200,2021-03-16 09:02:16,3,11.3833194,47.3122087,2321.84,0,6.81
14705,205354300,2021-03-16 09:02:16,3,11.3833199,47.3122087,2321.827,0,6.81
14706,205354400,2021-03-16 09:02:16,3,11.3833199,47.3122089,2321.789,0,6.81
14707,205354500,2021-03-16 09:02:16,3,11.3833199,47.3122093,2321.755,1,6.81
14708,205354600,2021-03-16 09:02:16,3,11.3833199,47.3122094,2321.723,1,6.81
14709,205354700,2021-03-16 09:02:16,3,11.38332,47.3122097,2321.696,1,6.81
14710,205354800,2021-03-16 09:02:16,3,11.38332,47.31221,2321.656,1,6.81
14711,205354900,2021-03-16 09:02:16,3,11.3833201,47.3122102,2321.625,1,6.81
14712,205355000,2021-03-16 09:02:17,3,11.3833204,47.3122103,2321.596,1,6.81
14713,205355100,2021-03-16 09:02:17,3,11.3833203,47.3122105,2321.531,1,6.81
14714,205355200,2021-03-16 09:02:17,3,11.3833205,47.3122105,2321.521,1,6.81
14715,205355300,2021-03-16 09:02:17,3,11.3833206,47.3122107,2321.489,1,6.81
14716,205355400,2021-03-16 09:02:17,3,11.3833206,47.3122106,2321.466,1,6.81
14717,205355500,2021-03-16 09:02:17,3,11.3833209,47.3122106,2321.457,0,6.81
14718,205355600,2021-03-16 09:02:17,3,11.3833209,47.3122106,2321.438,0,6.81
14719,205355700,2021-03-16 09:02:17,3,11.3833207,47.3122108,2321.402,0,6.81
14720,205355800,2021-03-16 09:02:17,3,11.3833208,47.3122108,2321.39,0,6.81
