#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205325400,2021:03:16:09:01:47,3,11.3832088,47.3122352,2321769,0,6.25,2321.769
205325500,2021:03:16:09:01:47,3,11.3832089,47.3122352,2321741,0,6.25,2321.741
205325600,2021:03:16:09:01:47,3,11.3832089,47.3122353,2321731,1,6.25,2321.731
205325700,2021:03:16:09:01:47,3,11.3832088,47.3122352,2321714,1,6.25,2321.714
205325800,2021:03:16:09:01:47,3,11.3832088,47.3122352,2321703,1,6.25,2321.703
205325900,2021:03:16:09:01:47,3,11.3832088,47.3122352,2321664,1,6.25,2321.664
205326000,2021:03:16:09:01:48,3,11.3832088,47.3122353,2321636,1,6.25,2321.636
205326100,2021:03:16:09:01:48,3,11.3832088,47.3122354,2321609,1,6.25,2321.609
205326200,2021:03:16:09:01:48,3,11.3832087,47.3122354,2321594,1,6.25,2321.594
205326300,2021:03:16:09:01:48,3,11.3832087,47.3122355,2321585,1,6.25,2321.585
205326400,2021:03:16:09:01:48,3,11.3832087,47.3122355,2321542,1,6.25,2321.542
205326500,2021:03:16:09:01:48,3,11.3832087,47.3122355,2321551,1,6.19,2321.551
205326600,2021:03:16:09:01:48,3,11.3832087,47.3122356,2321542,0,6.19,2321.542
205326700,2021:03:16:09:01:48,3,11.3832087,47.3122356,2321541,0,6.19,2321.541
205326800,2021:03:16:09:01:48,3,11.3832088,47.3122356,2321556,0,6.19,2321.556
205326900,2021:03:16:09:01:48,3,11.3832088,47.3122357,2321540,0,6.19,2321.54
205327000,2021:03:16:09:01:49,3,11.3832087,47.3122358,2321542,0,6.19,2321.542
205327100,2021:03:16:09:01:49,3,11.3832087,47.3122358,2321528,0,6.19,2321.528
205327200,2021:03:16:09:01:49,3,11.3832087,47.3122358,2321520,0,6.19,2321.52
205327300,2021:03:16:09:01:49,3,11.3832086,47.3122358,2321491,0,6.19,2321.491
205327400,2021:03:16:09:01:49,3,11.3832086,47.3122358,2321461,0,6.19,2321.461
205327500,2021:03:16:09:01:49,3,11.3832086,47.3122358,2321452,0,6.19,2321.452
205327600,2021:03:16:09:01:49,3,11.3832084,47.3122358,2321433,1,6.19,2321.433
205327700,2021:03:16:09:01:49,3,11.3832084,47.3122358,2321400,1,6.19,2321.4
205327800,2021:03:16:09:01:49,3,11.3832084,47.3122358,2321370,1,6.19,2321.37
205327900,2021:03:16:09:01:49,3,11.3832083,47.3122357,2321346,1,6.19,2321.346
205328000,2021:03:16:09:01:50,3,11.3832083,47.3122357,2321324,1,6.12,2321.324
205328100,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321293,1,6.12,2321.293
205328200,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321286,1,6.12,2321.286
